timestamp;accel.x;accel.y;accel.z
1464530713319;2.9232073;-1.9594073;-9.522558
1464530713354;1.0641488;-1.9340112;-9.521772
1464530713388;2.3328946;-2.4240913;-9.249724
1464530713421;2.4155717;-2.3967912;-9.961621
1464530713456;2.8809204;-2.5420992;-8.932642
1464530713491;2.9348087;-2.0623794;-9.008723
1464530713526;2.9103606;-2.604187;-9.996726
1464530713560;2.3325238;-2.4847493;-9.2171545
1464530713594;1.4738634;-2.6038687;-8.886076
1464530713634;-0.12448883;-74.915695;104.66853
1464530713668;14.466057;-11.168693;-4.0682507
1464530713703;17.946098;-12.654454;-12.360373
1464530713737;20.000675;-4.7232456;-6.534136
1464530713774;23.079367;0.61304736;-9.597592
1464530713809;67.77379;57.12472;-12.807736
1464530713843;5.6829824;-39.214367;-18.143316
1464530713878;16.664024;5.447144;2.1612947
1464530713912;17.84108;16.388512;9.037187
1464530713946;10.093633;-2.2362552;3.7421925
1464530713985;15.974443;-5.383894;13.514082
1464530714018;19.500965;-7.9577923;12.611243
1464530714054;19.389242;-9.201038;4.716783
1464530714088;10.766375;-4.599529;-8.298051
1464530714122;12.146751;-5.657074;-9.45809
1464530714156;13.4700985;-10.292309;-4.002099
1464530714191;12.563901;-13.306908;-5.7341046
1464530714225;9.057578;-10.900763;-6.7331867
1464530714259;-7.2689877;-5.7314024;-23.099037
1464530714293;0.66992116;-10.589729;-5.1368513
1464530714328;0.7512109;-11.883672;3.289696
1464530714363;-0.56326914;-13.276649;3.6866717
1464530714397;-0.9677825;-13.702122;2.3727822
1464530714445;-1.6885741;-11.817055;3.1829216
1464530714475;-3.9051578;-11.545824;1.5254343
1464530714510;-3.465103;-13.193995;1.3465866
1464530714545;-1.8819022;-15.266144;3.7518113
1464530714579;-0.6774006;-16.662388;6.048847
1464530714613;-0.18759513;-16.109566;8.361057
1464530714651;10.816624;-15.923994;21.946861
1464530714687;3.2481132;-12.62696;15.7283325
1464530714721;-1.1102492;-10.118357;15.201115
1464530714755;-5.818607;-3.4314833;24.698734
1464530714789;7.287526;-4.921907;13.221336
1464530714825;6.5202904;0.30261803;8.905563
1464530714860;0.391392;2.1958818;3.8488476
1464530714901;-6.362554;3.0502477;-1.5540152
1464530714938;-5.3094177;1.9805326;4.762666
1464530714972;-6.019581;-0.8925271;8.154812
1464530715008;-6.927534;-3.968751;10.357779
1464530715043;-7.154794;-6.56137;11.9062805
1464530715077;-6.5275345;-8.770718;12.496368
1464530715118;-7.8217473;-11.019923;9.691504
1464530715153;-6.5257025;-12.609892;9.565514
1464530715188;-5.8254013;-13.533192;9.268768
1464530715222;3.2207112;-12.896078;17.376514
1464530715258;-0.66086155;-12.719229;12.624153
1464530715292;-1.0982168;-13.743376;10.273298
1464530715325;3.0602727;-14.881896;3.3461428
1464530715359;4.718865;-14.529148;2.717107
1464530715393;3.715225;-13.373067;3.0029473
1464530715429;-0.98707366;-14.5709505;3.4026823
1464530715462;-0.19278502;-13.496022;3.7892232
1464530715498;1.2475367;-11.374532;3.7318118
1464530715535;0.7213613;-10.486979;3.1625779
1464530715570;-3.1135218;-13.673403;0.6025369
1464530715605;13.881231;-17.15738;-10.98435
1464530715638;8.186417;-15.33879;-14.064494
1464530715673;40.607925;-20.783678;-61.77443
1464530715706;18.701456;-24.9645;-39.14172
1464530715741;5.266235;-27.205719;-4.5312896
1464530715775;9.627312;-13.621393;29.775093
1464530715808;29.693924;-5.572847;25.881271
1464530715842;5.1241245;30.339443;27.232471
1464530715876;-56.794064;69.18476;20.643892
1464530715910;-26.748833;40.76106;7.819531
1464530715946;-68.66625;55.10182;-72.04726
1464530715979;16.739471;-1.0293808;-16.973423
1464530716018;10.716851;-2.8447266;-20.164577
1464530716057;17.440931;9.883536;-20.691555
1464530716091;17.791573;-1.216568;-11.49537
1464530716125;7.9561462;0.15320587;-15.474563
1464530716159;5.0115147;-3.683809;5.368557
1464530716195;5.449099;-7.4054537;-7.522293
1464530716230;0.71439195;-8.8997;-1.3451533
1464530716268;-3.2446702;-20.345764;-19.855686
1464530716302;-2.9891744;-19.670902;-21.398966
1464530716336;3.5788546;-10.522163;-17.522163
1464530716371;-0.9694145;-12.996895;-7.7105627
1464530716406;-2.5661862;-18.257431;-13.550251
1464530716440;-3.40224;-19.434673;-12.960543
1464530716474;-5.8416114;-16.317251;-8.089764
1464530716508;-5.1182075;-18.02429;-9.323113
1464530716543;-2.2977786;-17.104809;-5.7713795
1464530716579;-1.5809236;-16.807903;-3.542389
1464530716618;-1.51442;-15.631124;-1.248447
1464530716652;2.4348607;-11.0632925;1.6260604
1464530716687;10.597767;-15.702583;0.32868096
1464530716720;14.782852;-12.787846;12.438881
1464530716754;18.57274;-12.340109;18.251247
1464530716788;25.595427;-0.09249258;-20.67783
1464530716823;50.53484;0.97501564;-24.76878
1464530716856;84.52718;1.773149;-25.150724
1464530716890;21.731844;-21.625053;17.828167
1464530716925;24.791277;-2.8903036;23.505428
1464530716959;31.433937;-8.332193;44.122734
1464530716995;6.040391;-27.376577;-71.868416
1464530717036;10.244848;-13.682795;-13.962976
1464530717073;-6.981357;-38.81716;-42.123398
1464530717108;23.332489;2.8798847;-44.738136
1464530717143;-40.77159;33.003532;4.2523174
1464530717178;19.1857;9.620317;5.668458
1464530717212;-4.7842965;13.887705;18.445654
1464530717248;0.540854;-10.118197;21.790895
1464530717285;17.109898;-30.470825;-12.608909
1464530717321;-1.5858998;-35.796707;-6.288391
1464530717357;-4.2348814;-14.365292;11.955275
1464530717391;11.471025;8.44718;23.807274
1464530717429;-8.980207;-7.8284264;8.320286
1464530717458;18.52222;5.9037547;10.3559265
1464530717492;38.65394;-6.4718084;4.811205
1464530717527;-30.854385;1.4166446;15.850304
1464530717561;9.727474;-2.9012222;14.050473
1464530717602;25.856892;4.669073;17.986431
1464530717638;3.8155856;-5.284614;4.587613
1464530717673;14.645585;28.918758;-25.091
1464530717707;9.991417;19.76881;-15.192484
1464530717740;-4.048358;-24.96851;11.211863
1464530717776;16.953087;-7.6523514;3.4445775
1464530717810;10.88244;-35.19733;11.767933
1464530717844;-6.2875886;-49.414425;-69.93862
1464530717879;-3.6693745;-46.68916;-58.571808
1464530717913;20.455421;75.96614;43.97678
1464530717952;5.6354513;19.229269;1.0712388
1464530717987;2.2419481;13.370551;-10.0957575
1464530718022;18.225555;-89.61793;30.442245
1464530718058;-233.14195;72.784225;-1.7099271
1464530718107;-233.14195;72.784225;-1.7099271
1464530718140;8.045873;142.40172;-20.731806
1464530718176;36.816895;10.593555;-57.065704
1464530718211;-137.73383;29.518599;110.55815
1464530718246;-108.51472;-22.218653;-24.52703
1464530718285;-45.332603;-75.09786;-84.59501
1464530718318;33.659584;-68.77356;-43.266415
1464530718352;-0.59552383;-99.23757;0.35702682
1464530718387;-66.79153;-70.736984;89.39438
1464530718420;-20.548557;-23.66316;79.53275
1464530718455;-9.410839;11.930745;74.115875
1464530718490;-6.15505;10.735758;25.663628
1464530718525;9.848284;6.475629;13.596312
1464530718559;17.18697;3.4286647;-1.8867912
1464530718594;15.829285;4.6728845;-4.3177643
1464530718629;63.21452;13.111338;52.498688
1464530718663;-33.687344;-5.299167;-20.7518
1464530718698;21.102905;-5.2073817;-12.812788
1464530718733;11.4155655;-2.0237377;-3.8019967
1464530718767;7.611978;-0.26536843;-1.838316
1464530718801;-0.23618889;-5.2738314;2.0218115
1464530718836;57.936253;9.698014;27.44555
1464530718870;-50.16646;2.6687486;-26.489767
1464530718903;4.521183;-0.8851407;-3.79242
1464530718938;4.0973783;2.574962;-0.94239116
1464530718973;4.5721684;3.1509523;0.79866964
1464530719007;8.570432;1.8443856;-0.12503874
1464530719040;13.334317;-1.8870394;-0.28131676
1464530719076;33.55088;8.875626;32.650074
1464530719110;-7.37702;-12.917613;-30.131277
1464530719144;14.078829;-4.4317217;-1.1119297
1464530719179;12.444267;-6.423376;-1.6056997
1464530719221;13.628933;-3.594638;3.1905303
1464530719258;5.6642637;-4.7739983;0.51929474
1464530719294;25.542553;1.3143554;23.15328
1464530719335;5.3285527;-2.3125377;6.26738
1464530719370;-18.621758;-18.900188;-31.910637
1464530719404;4.479783;-9.323538;-0.39056277
1464530719438;8.537184;-6.8093715;1.0636367
1464530719473;4.7343907;-8.89484;-0.58395493
1464530719507;7.3508368;-9.133282;1.8033062
1464530719540;6.6753254;-9.621463;3.4656663
1464530719575;3.7554302;-12.164506;-0.6607398
1464530719610;29.855774;2.8084846;19.895527
1464530719644;-4.5375566;-21.280287;-18.849854
1464530719679;10.691515;-13.596941;1.6654361
1464530719714;23.921358;-2.2292862;18.786194
1464530719749;14.840235;-13.763342;9.804174
1464530719786;9.762995;-17.487179;1.7977333
1464530719819;-4.6261635;-16.177923;-13.983006
1464530719854;10.510801;-12.665972;3.1732557
1464530719892;5.7127085;-10.354079;0.3983311
1464530719927;12.521589;-8.368871;7.4183254
1464530719961;19.229885;-4.674122;-0.38004884
1464530719997;5.0478854;-7.6790543;-1.5497543
1464530720035;32.9069;-13.243137;7.8808203
1464530720072;9.166817;-10.16804;4.0381694
1464530720107;1.996335;-8.965695;2.455032
1464530720140;2.8246243;-5.6118155;3.556159
1464530720174;7.727947;-9.584488;3.9205809
1464530720209;11.111828;-13.370064;2.0040054
1464530720245;17.105234;-19.105274;6.2247415
1464530720286;10.696508;-14.566427;3.2950869
1464530720321;11.148793;-16.379784;1.9228595
1464530720356;11.071554;-18.03134;4.1553936
1464530720404;12.570882;-17.184511;9.316839
1464530720438;-22.51993;0.5370555;13.641156
1464530720473;-12.088674;-6.2381687;9.004821
1464530720508;-9.477598;-6.9272747;11.829983
1464530720542;-6.407163;-1.1718788;10.864054
1464530720576;-4.830961;-7.2591844;7.3487844
1464530720621;0.43929362;-9.322265;0.061749935
1464530720655;0.48153615;-6.1222186;1.2675841
1464530720690;-17.202578;17.698227;10.593157
1464530720725;14.318615;-23.573109;8.287958
1464530720759;-11.05052;50.016613;14.226994
1464530720793;10.0769;8.7759695;-1.1591716
1464530720828;-12.567816;-16.232979;-8.275024
1464530720868;8.707212;2.6442933;0.7441716
1464530720907;3.621284;-6.2532897;-3.7774115
1464530720942;14.375991;0.559618;7.6540813
1464530720977;41.411312;18.61878;37.524208
1464530721022;20.153831;0.48147154;20.847862
