timestamp;x_accel;y_accel;z_accel
1464540695000;0.668;0.324;0.316
1464540695000;0.68;0.136;0.232
1464540695000;0.688;0.056;0.18
1464540695000;0.664;-0.024;0.144
1464540695000;0.64;-0.188;0.108
1464540695000;0.592;-0.26;0.088
1464540695000;0.564;-0.308;0.068
1464540695000;0.388;-0.392;-0.008
1464540695000;0.272;-0.496;-0.016
1464540695000;0.208;-0.624;-0.064
1464540695000;0.144;-1.024;-0.188
1464540695000;0.132;-1.308;-0.236
1464540695000;0.156;-1.624;-0.3
1464540695000;0.224;-2.004;-0.468
1464540695000;0.236;-1.928;-0.592
1464540695000;0.216;-1.612;-0.528
1464540695000;0.196;-1.612;-0.496
1464540695000;0.216;-1.516;-0.428
1464540695000;0.24;-1.208;-0.284
1464540695000;0.24;-1.116;-0.236
1464540695000;0.244;-1.02;-0.204
1464540695000;0.24;-0.8;-0.144
1464540695000;0.252;-0.688;-0.128
1464540695000;0.268;-0.544;-0.104
1464540695000;0.312;-0.184;-0.004
1464540695000;0.348;-0.02;0.056
1464540695000;0.396;0.168;0.228
1464540695000;0.42;0.404;0.272
1464540695000;0.392;0.696;0.3
1464540695000;0.284;0.94;0.412
1464540695000;0.276;1.132;0.556
1464540695000;0.288;1.452;0.668
1464540695000;0.404;1.832;0.936
1464540696000;0.56;2.044;0.936
1464540696000;0.744;2.044;0.848
1464540696000;0.928;2.044;0.796
1464540696000;0.92;1.868;0.732
1464540696000;0.804;1.672;0.684
1464540696000;0.62;1.204;0.6
1464540696000;0.564;0.92;0.544
1464540696000;0.548;0.644;0.488
1464540696000;0.6;0.3;0.328
1464540696000;0.584;0.204;0.28
1464540696000;0.54;-0.08;0.236
1464540696000;0.524;-0.2;0.184
1464540696000;0.516;-0.256;0.152
1464540696000;0.432;-0.336;0.056
1464540696000;0.392;-0.42;0.024
1464540696000;0.316;-0.496;-0.004
1464540696000;0.152;-0.772;-0.192
1464540696000;0.14;-0.904;-0.268
1464540696000;0.1;-1.04;-0.312
1464540696000;-0.012;-1.476;-0.436
1464540696000;-0.048;-1.772;-0.552
1464540696000;-0.02;-1.92;-0.632
1464540696000;-0.016;-1.872;-0.68
1464540696000;-0.004;-1.748;-0.664
1464540696000;-0.012;-1.596;-0.6
1464540696000;0.024;-1.36;-0.448
1464540696000;0.064;-1.236;-0.364
1464540696000;0.152;-0.916;-0.252
1464540696000;0.176;-0.784;-0.228
1464540696000;0.232;-0.656;-0.176
1464540696000;0.292;-0.412;-0.112
1464540696000;0.332;-0.224;-0.088
1464540696000;0.38;-0.024;-0.076
1464540696000;0.492;0.204;0.052
1464540696000;0.504;0.268;0.136
1464540696000;0.536;0.58;0.172
1464540696000;0.572;0.864;0.36
1464540697000;0.604;0.824;0.54
1464540697000;0.632;1.388;0.732
1464540697000;0.668;1.492;0.896
1464540697000;0.7;1.456;1.028
1464540697000;0.884;1.796;1.004
1464540697000;0.972;1.804;1.0
1464540697000;0.972;1.648;0.96
1464540697000;0.944;1.4;0.788
1464540697000;0.908;1.228;0.712
1464540697000;0.8;0.84;0.52
1464540697000;0.756;0.64;0.444
1464540697000;0.74;0.48;0.372
1464540697000;0.74;0.292;0.26
1464540697000;0.716;0.18;0.256
1464540697000;0.688;0.032;0.22
1464540697000;0.628;-0.184;0.08
1464540697000;0.616;-0.284;0.04
1464540697000;0.624;-0.36;0.012
1464540697000;0.504;-0.4;-0.02
1464540697000;0.42;-0.444;-0.044
1464540697000;0.336;-0.528;-0.056
1464540697000;0.148;-0.86;-0.164
1464540697000;0.06;-1.008;-0.24
1464540697000;0.04;-1.192;-0.296
1464540697000;0.036;-1.716;-0.448
1464540697000;0.044;-1.848;-0.504
1464540697000;0.048;-1.74;-0.536
1464540697000;0.12;-1.368;-0.608
1464540697000;0.12;-1.524;-0.572
1464540697000;0.14;-1.432;-0.36
1464540697000;0.148;-1.26;-0.336
1464540697000;0.144;-1.092;-0.276
1464540697000;0.232;-0.94;-0.188
1464540697000;0.26;-0.824;-0.14
1464540697000;0.24;-0.696;-0.104
1464540697000;0.32;-0.392;-0.012
1464540697000;0.352;-0.232;0.04
1464540698000;0.344;-0.056;0.048
1464540698000;0.476;0.392;0.1
1464540698000;0.488;0.496;0.144
1464540698000;0.46;0.516;0.192
1464540698000;0.372;1.104;0.484
1464540698000;0.308;1.352;0.808
1464540698000;0.26;1.424;1.22
1464540698000;0.468;1.724;1.236
1464540698000;0.756;1.96;1.168
1464540698000;1.02;1.764;1.084
1464540698000;1.012;1.676;1.032
1464540698000;0.996;1.676;0.96
1464540698000;0.792;1.408;0.748
1464540698000;0.72;1.088;0.652
1464540698000;0.664;0.808;0.544
1464540698000;0.644;0.436;0.34
1464540698000;0.64;0.28;0.304
1464540698000;0.624;0.1;0.292
1464540698000;0.544;-0.168;0.148
1464540698000;0.536;-0.224;0.108
1464540698000;0.488;-0.332;0.032
1464540698000;0.444;-0.412;0.004
1464540698000;0.404;-0.464;-0.036
1464540698000;0.324;-0.6;-0.148
1464540698000;0.272;-0.672;-0.2
1464540698000;0.168;-0.944;-0.276
1464540698000;0.092;-1.148;-0.312
1464540698000;0.044;-1.412;-0.396
1464540698000;0.0;-1.864;-0.516
1464540698000;0.144;-2.032;-0.804
1464540698000;0.124;-1.692;-0.692
1464540698000;0.08;-1.544;-0.528
1464540698000;0.12;-1.476;-0.496
1464540698000;0.152;-1.36;-0.452
1464540698000;0.196;-1.14;-0.344
1464540698000;0.212;-1.016;-0.292
1464540698000;0.208;-0.884;-0.244
1464540698000;0.248;-0.612;-0.136
1464540699000;0.192;-0.484;-0.092
1464540699000;0.156;-0.348;-0.028
1464540699000;0.252;0.06;0.124
1464540699000;0.284;0.264;0.192
1464540699000;0.392;0.548;0.364
1464540699000;0.416;0.644;0.412
1464540699000;0.496;0.928;0.62
1464540699000;0.572;1.104;0.772
1464540699000;0.636;1.328;0.932
1464540699000;0.752;1.8;1.184
1464540699000;0.904;1.916;1.196
1464540699000;1.072;1.916;1.184
1464540699000;1.072;1.628;1.072
1464540699000;1.012;1.564;0.976
1464540699000;0.736;1.3;0.72
1464540699000;0.672;1.004;0.636
1464540699000;0.632;0.728;0.56
1464540699000;0.6;0.508;0.36
1464540699000;0.572;0.368;0.316
1464540699000;0.572;0.204;0.308
1464540699000;0.528;-0.072;0.232
1464540699000;0.528;-0.124;0.18
1464540699000;0.496;-0.188;0.124
1464540699000;0.5;-0.36;0.072
1464540699000;0.44;-0.452;0.04
1464540699000;0.352;-0.548;0.016
1464540699000;0.256;-0.752;-0.06
1464540699000;0.216;-0.852;-0.124
1464540699000;0.164;-1.012;-0.196
1464540699000;0.144;-1.412;-0.356
1464540699000;0.144;-1.58;-0.432
1464540699000;0.036;-1.86;-0.616
1464540699000;0.176;-1.724;-0.72
